"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.024676546","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","soy sauce","","0.35857314","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","shredded medium cheddar cheese","","0.39067242","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped veggies ( optional )","frozen mixed vegetable","","0.33732593","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.23398651","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","fresh dill","","0.31264606","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","macaroni","","0.3204809","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","ground dried thyme","","0.37691593","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","salsa","","0.383722","335","False"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.17303117","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","skinless chicken breast","","0.24704885","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.20390517","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.21234202","335","False"
"5123","1- 1/2 cup mozzarella cheese","1 - 1 / 2 cup mozzarella cheese","low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.22858383","15","True"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","cannellini bean","","0.40668696","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.20164284","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded gruyere cheese","","0.26608545","335","False"
