"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.023734877","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","vegetable broth","","0.3798148","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","cornbread stuffing mix","","0.330314","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped veggies ( optional )","frozen mixed vegetable","","0.31183797","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.20007187","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","fresh dill","","0.203422","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","macaroni","","0.29515332","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","ground black pepper","","0.44417915","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","sriracha","","0.35532436","335","False"
"5475","8 oz. button mushrooms","8 oz . button mushrooms","brown mushroom","white mushroom","0.20722477","24","True"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.13722323","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","rotisserie chicken","","0.26927423","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.1789862","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.1433194","335","False"
"5123","1- 1/2 cup mozzarella cheese","1 - 1 / 2 cup mozzarella cheese","low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.13241802","15","True"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","great northern bean","","0.28916177","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.1647827","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded yellow cheddar cheese","","0.21142972","335","False"
"6619","A small pinch of dried wood ear mushrooms (black fungus (yields 1 cup after rehydration))","A small pinch of dried wood ear mushrooms ( black fungus ( yields 1 cup after rehydration ) )","ground dried basil","","0.4259833","335","False"
"72","2 Tbsp extra virgin olive oil","2 Tbsp extra virgin olive oil","extra-virgin olive oil","olive oil","0.04981386","223","False"
"8925","1/3 cup dried blueberries","1 / 3 cup dried blueberries","blueberry","","0.22639051","335","False"
"1503","Pickled onions","Pickled onions","ground clove","","0.33348888","335","False"
"998","1 cup basil leaves","1 cup basil leaves","fresh basil","ground dried basil","0.11124344","9","False"
"4460","1 tablespoon cacao nibs or chocolate chips (see note)","1 tablespoon cacao nibs or chocolate chips ( see note )","vanilla extract","","0.4230616","335","False"
"4948","1 tablespoon gochugaru Korean chili flakes or chili paste","1 tablespoon gochugaru Korean chili flakes or chili paste","crushed red pepper flake","","0.36092103","335","False"
"4524","2 tablespoons coconut amino acids (or tamari: GF soy sauce if you are not Paleo)","2 tablespoons coconut amino acids ( or tamari UNK soy sauce if you are not UNK )","tamari","","0.29335958","335","False"
"4461","whipped cream or whipped coconut cream (for garnish, optional)","whipped cream or whipped coconut cream ( for garnish , optional )","sour cream","","0.21052694","335","False"
"699","8 (7-inch) whole-wheat or grain-free tortillas","8 ( 7 - inch ) whole - wheat or grain - free tortillas","flour tortilla","","0.32795984","335","False"
"7917","16 to 18 (12-inch) bamboo skewers, soaked in warm water for 15 to 30 minutes","16 to 18 ( 12 - inch ) bamboo skewers , soaked in warm water for 15 to 30 minutes","shrimp","","0.3862102","335","False"
"1153","Sweet stir-fry blend (coconut aminos - fish sauce)","Sweet stir - fry blend ( coconut aminos - fish sauce )","peanut oil","","0.393057","335","False"
"5453","6 oil-packed anchovies","6 oil - packed anchovies","oil-packed white tuna","","0.39800295","335","False"
"2629","1 can (4 ounces) mushroom stems and pieces, drained","1 can ( 4 ounces ) mushroom stems and pieces , drained","shiitake mushroom","","0.29151088","335","False"
"6623","1/4 teaspoon sea salt","1 / 4 teaspoon sea salt","table salt","kosher salt","0.24217391","113","True"
"7122","8 mozzarella (slices, fresh, ¼-inch thick)","8 mozzarella ( slices , fresh , 1 / 4 - inch thick )","low-moisture part-skim mozzarella cheese","low-moisture part-skim mozzarella cheese slice","0.2765296","3","False"
"8666","3 ounces dried apple slices","3 ounces dried apple slices","american pear","","0.38770336","335","False"
"656","1 tablespoon Pâté (optional, but recommended)","1 tablespoon UNK ( optional , but recommended )","fish sauce","","0.33604577","335","False"
"2979","¼ cup plus 2 Tbsp. extra-virgin olive oil, plus more for drizzling","1 / 4 cup plus 2 Tbsp . extra - virgin olive oil , plus more for drizzling","extra-virgin olive oil","olive oil","0.09518495","223","False"
"3078","Vegan Parmesan Cheese","Vegan Parmesan Cheese","grated parmesan cheese","","0.28132814","335","False"
"726","1 cup uncooked brown basmati rice, for serving (rice is optional, I like to cook extra to have on hand for other meals)","1 cup uncooked brown basmati rice , for serving ( rice is optional , I like to cook extra to have on hand for other meals )","white rice","","0.2234174","335","False"
"4986","1/2 teaspoon dried mint, dill or tarragon","1 / 2 teaspoon dried mint , dill or tarragon","fresh spearmint","","0.31325287","335","False"
"485","1/4 cup tamarind juice","1 / 4 cup tamarind juice","lemon juice","","0.31642693","335","False"
"365","2 tsp kecap manis ((Note 3))","2 tsp kecap manis ( ( Note 3 ) )","sesame oil","","0.41904438","335","False"
"1261","1 can condensed tomato soup","1 can condensed tomato soup","cream of chicken soup","","0.30438954","335","False"
"2477","3 tablespoons finely chopped lemongrass- or use lemongrass paste.","3 tablespoons finely chopped lemongrass - or use lemongrass paste .","fresh ginger","","0.36316937","335","False"
"2776","2 tablespoon coconut aminos","2 tablespoon coconut aminos","tamari","","0.23073216","335","False"
"553","½ teaspoon pimentón","1 / 2 teaspoon pimentón","ground paprika","","0.41847584","335","False"
"7652","3 cups leftover cooked quinoa,* brown rice,* or uncooked cauliflower rice*","3 cups leftover cooked quinoa , brown rice , or uncooked cauliflower rice","cooked white rice","","0.29035902","335","False"
"440","6 cups watercress","6 cups watercress","fresh spinach","","0.258714","335","False"
"4865","Pinch red pepper flakes","Pinch red pepper flakes","crushed red pepper flake","ground red pepper","0.29936177","33","False"
"915","8 cardamom pods, lightly crushed with the flat side of a knife","8 cardamom pods , lightly crushed with the flat side of a knife","ground cardamom","","0.3062566","335","False"
"4353","1 (12-ounce) bag fresh or frozen cranberries","1 ( 12 - ounce ) bag fresh or frozen cranberries","frozen mixed berry","","0.3237745","335","False"
"116","3 tablespoons milk","3 tablespoons milk","1% milk","2% milk","0.12784651","4","False"
"4173","4 skinless chicken legs","4 skinless chicken legs","boneless, skinless chicken thigh","","0.24403718","335","False"
"454","1 tbsp. extra-virgin olive oil","1 tbsp . extra - virgin olive oil","extra-virgin olive oil","olive oil","0.037462384","223","False"
"3174","2 tsp Bragg's Aminos","2 tsp Bragg s Aminos","celery","","0.38300484","335","False"
"3241","1-1/2 cups cubed cooked turkey breast","1 - 1 / 2 cups cubed cooked turkey breast","turkey breast","","0.29695314","335","False"
"3775","3 small dried hot red peppers","3 small dried hot red peppers","ancho dried chili","","0.30706328","335","False"
"2897","3 dried chili peppers ((de-seeded and cut into segments))","3 dried chili peppers ( ( de - seeded and cut into segments ) )","ancho dried chili","","0.26061147","335","False"
"2646","1 1/2 cups cooked and cooled farro","1 1 / 2 cups cooked and cooled farro","barley","","0.38287368","335","False"
"6770","1 tablespoon poultry seasoning","1 tablespoon poultry seasoning","Italian seasoning","","0.21255209","335","False"
"6345","2 cups cooked white rice","2 cups cooked white rice","cooked white rice","white rice","0.061266184","25","False"
"2916","soft/hard-boiled egg","soft / hard - boiled egg","egg","","0.17343196","335","False"
"6665","1 Tbsp fresh sage (chopped)","1 Tbsp fresh sage ( chopped )","ground dried sage","","0.30791742","335","False"
"5043","1 tbsp coconut aminos (or fish sauce, if not vegan)","1 tbsp coconut aminos ( or fish sauce , if not vegan )","tamari","","0.29977575","335","False"
"2131","2 (6-oz) cans tuna in olive oil, drained","2 ( 6 - oz ) cans tuna in olive oil , drained","oil-packed white tuna","oil-packed light tuna","0.27915215","6","False"
"1332","1 tsp salt, celtic sea salt preferred","1 tsp salt , celtic sea salt preferred","table salt","kosher salt","0.25902122","113","True"
"4210","3/4 cup frozen raspberries","3 / 4 cup frozen raspberries","frozen mixed berry","","0.30800998","335","False"
"2566","12 ounces/340 g button mushrooms","12 ounces / 340 g button mushrooms","brown mushroom","white mushroom","0.18698998","24","False"
"5443","1 bulb garlic, peeled","1 bulb garlic , peeled","garlic","","0.13403672","335","False"
"4740","1/4 cup roasted chickpeas (recipe below)","1 / 4 cup roasted chickpeas ( recipe below )","chickpea","","0.28750625","335","False"
"3913","2/3 cup buffalo hot sauce of choice, see note","2 / 3 cup buffalo hot sauce of choice , see note","hot sauce","","0.29670608","335","False"
"5080","3 ounces cheddar cheese, thinly sliced","3 ounces cheddar cheese , thinly sliced","cheddar cheese","cheddar cheese slice","0.14276645","2","False"
"446","1 tsp. Gochujang Red Pepper Paste","1 tsp . Gochujang Red Pepper Paste","crushed red pepper flake","","0.286309","335","False"
"1174","1/2 cup (120ml) homemade or store-bought tahini sauce (note that tahini and tahini sauce are different products)","1 / 2 cup ( 120ml ) homemade or store - bought tahini sauce ( note that tahini and tahini sauce are different products )","tahini","","0.2960258","335","False"
"2655","1 1/2 cups cooked and cooled red quinoa","1 1 / 2 cups cooked and cooled red quinoa","quinoa","","0.27008536","335","False"
"5025","3 tablespoons cooked peas ( from above)","3 tablespoons cooked peas ( from above )","frozen pea","","0.36654243","335","False"
"165","⅓ cup Mexican Crema","1 / 3 cup Mexican Crema","hummus","","0.31902444","335","False"
"8037","1/2 cup corn kernels (canned or freshly cooked)","1 / 2 cup corn kernels ( canned or freshly cooked )","frozen corn","canned corn","0.17124808","5","False"
"5367","1/2 cup mandarin oranges","1 / 2 cup mandarin oranges","canned mandarin orange","orange","0.25208068","9","True"
"884","10-15 frozen cylindrical rice cakes (optional), or rice noodles, or pasta, or steamed rice","10 - 15 frozen cylindrical rice cakes ( optional ) , or rice noodles , or pasta , or steamed rice","cooked white rice","","0.27652165","335","False"
"4086","1 Tbsp. Meatloaf Seasoning","1 Tbsp . UNK Seasoning","lemon pepper seasoning","","0.39086023","335","False"
"2781","1 teaspoon lemon grass, sliced","1 teaspoon lemon grass , sliced","lemon","","0.32818654","335","False"
"668","1/2 - 3/4 cup unsweetened vanilla almond milk","1 / 2 - 3 / 4 cup unsweetened vanilla almond milk","almond milk","","0.21775888","335","False"
"5109","Finely grated pecorino, to serve","Finely grated pecorino , to serve","grated parmesan cheese","","0.19380146","335","False"
"56","2 Tbsp. rice wine vinegar","2 Tbsp . rice wine vinegar","rice vinegar","white rice","0.13507235","25","False"
"1113","1 pound ground beef (at least 25% fat)","1 pound ground beef ( at least 25 % fat )","ground beef","75% lean ground beef","0.16467206","1","False"
"3014","3 Persian cucumbers, halved lengthwise, thinly sliced into half moons","3 Persian cucumbers , halved lengthwise , thinly sliced into half moons","english cucumber","","0.25808278","335","False"
"126","1 loaf ciabatta bread, 12 to 14 inches long, halved","1 loaf ciabatta bread , 12 to 14 inches long , halved","sandwich bread","","0.30751592","335","False"
"2630","Hot cooked pasta or rice","Hot cooked pasta or rice","macaroni","","0.36439764","335","False"
"2230","1 cup pea shoots","1 cup pea shoots","snow pea","","0.33351028","335","False"
"4156","1 teaspoon chopped fresh sage","1 teaspoon chopped fresh sage","ground dried sage","","0.27046415","335","False"
"182","6 ounces jicama","6 ounces jicama","slicing cucumber","","0.3556924","335","False"
"7062","1 teaspoon Sichuan peppercorns, crushed","1 teaspoon Sichuan peppercorns , crushed","ground bay leaf","","0.36263782","335","False"
"8059","1 teaspoon poultry seasoning","1 teaspoon poultry seasoning","Italian seasoning","","0.16978352","335","False"
"4056","2 anchovies (, whole (or 1/2 tsp anchovy paste))","2 anchovies ( , whole ( or 1 / 2 tsp anchovy paste ) )","chickpea","","0.42172408","335","False"
"3421","1/2 cup green or brown lentils","1 / 2 cup green or brown lentils","brown lentil","","0.40573788","335","False"
"954","2 teaspoons Chinese black vinegar (or young/cheap balsamic vinegar)","2 teaspoons Chinese black vinegar ( or young / cheap balsamic vinegar )","balsamic vinegar","","0.32948673","335","False"
"1355","za'atar","za atar","ground ginger","","0.37054545","335","False"
"5421","1 teaspoon chopped fresh oregano","1 teaspoon chopped fresh oregano","dried oregano leaf","","0.17092669","335","False"
"2185","1 tablespoon gochujang, check labels for gluten-free","1 tablespoon gochujang , check labels for gluten - free","sriracha","","0.30112132","335","False"
"6388","¼ cup chopped dill","1 / 4 cup chopped dill","fresh dill","dried dill weed","0.12398881","4","False"
"1867","1/2 teaspoon prepared wasabi","1 / 2 teaspoon prepared wasabi","prepared horseradish","","0.23161897","335","False"
"3623","6 chicken legs (drumsticks with thighs; about 3 pounds)","6 chicken legs ( drumsticks with thighs about 3 pounds )","chicken drumstick with skin","","0.2440291","335","False"
"2997","64 ounces (8 cups) low-sodium vegetable broth","64 ounces ( 8 cups ) low - sodium vegetable broth","vegetable broth","","0.30662248","335","False"
