"id","raw","encoded","pred","label","dist","training_count","not_exact"
"5116","1-28 oz. can diced tomatoes","1 - 28 oz . can diced tomatoes","diced tomato","diced tomato","0.06279575","26","False"
"6020","1 green bell pepper","1 green bell pepper","green bell pepper","green bell pepper","0.016901512","32","False"
"3594","8 hamburger buns, split","8 hamburger buns , split","hamburger bun","hamburger bun","0.046620514","10","False"
"1246","1 small tomato, seeded, finely chopped (about 1/2 cup)","1 small tomato , seeded , finely chopped ( about 1 / 2 cup )","tomato","tomato","0.07708897","57","False"
"3552","1 teaspoon coriander powder","1 teaspoon coriander powder","ground coriander","ground coriander","0.12932822","14","False"
"8333","1/4 cup diced red onion","1 / 4 cup diced red onion","red onion","red onion","0.038067993","67","False"
"480","4 cups fresh spinach","4 cups fresh spinach","fresh spinach","fresh spinach","0.030849688","50","False"
"6747","2 teaspoons ground cumin","2 teaspoons ground cumin","ground cumin","ground cumin","0.036165502","72","False"
"6893","2 Tbsp mirin","2 Tbsp mirin","white wine","white wine","0.19382173","19","True"
"4292","1 large avocado","1 large avocado","hass avocado","hass avocado","0.10555214","64","False"
"3469"," Salt","Salt","table salt","table salt","0.13348962","208","False"
"92","1 cup chopped romaine lettuce","1 cup chopped romaine lettuce","romaine lettuce","romaine lettuce","0.03178454","27","False"
"6756","8 ounces hot Italian turkey sausage, casings removed","8 ounces hot Italian turkey sausage , casings removed","turkey sausage","turkey sausage","0.18244162","2","True"
"325","Zest of 1 lime","Zest of 1 lime","lime zest","lime zest","0.14176255","8","False"
"6399","1 cup chopped red onion (about 1 small onion)","1 cup chopped red onion ( about 1 small onion )","red onion","red onion","0.07055725","67","False"
"4107","1 medium zucchini, halved lengthwise and sliced","1 medium zucchini , halved lengthwise and sliced","zucchini","zucchini","0.10010863","26","False"
"96","1/2 cup 1% milk","1 / 2 cup 1 % milk","1% milk","1% milk","0.030117152","8","False"
"4002","1 teaspoon ground cumin","1 teaspoon ground cumin","ground cumin","ground cumin","0.031072032","72","False"
"4635","1/2 green bell pepper, finely chopped","1 / 2 green bell pepper , finely chopped","green bell pepper","green bell pepper","0.055863205","32","False"
"4425","1 tablespoon of lime juice","1 tablespoon of lime juice","lime juice","lime juice","0.029567052","71","False"
"7679","1 teaspoon sugar","1 teaspoon sugar","white sugar","white sugar","0.11905218","51","False"
