"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.044152893","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","beef broth","","0.45259506","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","soft tofu","","0.45336604","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped UNK ( optional )","regular mayonnaise","","0.3063982","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.25296953","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","fresh dill","","0.2855401","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","macaroni","","0.42376217","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","ground black pepper","","0.38936865","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","regular mayonnaise","","0.39692098","335","False"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.2627862","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","skinless chicken breast","","0.21370953","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.17030141","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.26325217","335","False"
"5123","1- 1/2 cup mozzarella cheese","1 - 1 / 2 cup mozzarella cheese","low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.21650434","15","True"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","cannellini bean","","0.32975435","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.30049577","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded low-moisture part-skim mozzarella cheese","","0.2268391","335","False"
"6619","A small pinch of dried wood ear mushrooms (black fungus (yields 1 cup after rehydration))","A small pinch of dried wood ear mushrooms ( black fungus ( yields 1 cup after UNK ) )","ground dried basil","","0.38009912","335","False"
"72","2 Tbsp extra virgin olive oil","2 Tbsp extra virgin olive oil","extra-virgin olive oil","olive oil","0.047648396","223","False"
"8925","1/3 cup dried blueberries","1 / 3 cup dried blueberries","dried apricot","","0.2991258","335","False"
"1503","Pickled onions","Pickled onions","yellow onion","","0.32391343","335","False"
"998","1 cup basil leaves","1 cup basil leaves","fresh basil","ground dried basil","0.2323989","9","False"
"3398","2 cups of quartered sliced cucumber ((I prefer persian or english cucumbers))","2 cups of quartered sliced cucumber ( ( I prefer UNK or UNK cucumbers ) )","slicing cucumber","english cucumber","0.2191725","9","False"
"4460","1 tablespoon cacao nibs or chocolate chips (see note)","1 tablespoon cacao nibs or chocolate chips ( see note )","vanilla extract","","0.4730485","335","False"
"4948","1 tablespoon gochugaru Korean chili flakes or chili paste","1 tablespoon gochugaru Korean chili flakes or chili paste","crushed red pepper flake","","0.32166484","335","False"
"4524","2 tablespoons coconut amino acids (or tamari: GF soy sauce if you are not Paleo)","2 tablespoons coconut UNK UNK ( or tamari UNK soy sauce if you are not UNK )","tamari","","0.36687467","335","False"
"4461","whipped cream or whipped coconut cream (for garnish, optional)","whipped cream or whipped coconut cream ( for garnish , optional )","sour cream","","0.28590065","335","False"
"699","8 (7-inch) whole-wheat or grain-free tortillas","8 ( 7 - inch ) whole - wheat or grain - free tortillas","flour tortilla","","0.27996373","335","False"
"2382","1/4 cup Ranch dressing","1 / 4 cup Ranch dressing","Caesar dressing","ranch dressing","0.1600722","2","False"
"7917","16 to 18 (12-inch) bamboo skewers, soaked in warm water for 15 to 30 minutes","16 to 18 ( 12 - inch ) bamboo skewers , soaked in warm water for 15 to 30 minutes","garlic","","0.40156284","335","False"
"1153","Sweet stir-fry blend (coconut aminos - fish sauce)","Sweet stir - fry blend ( coconut UNK - fish sauce )","sweet potato","","0.4412273","335","False"
"5453","6 oil-packed anchovies","6 oil - packed anchovies","tomato","","0.4756316","335","False"
