"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.035373103","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","tap water","","0.40473863","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","russet potato","","0.38573694","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped veggies ( optional )","frozen mixed vegetable","","0.27202272","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.18046767","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","fresh dill","","0.28741592","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","cornstarch","","0.28845242","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","bird's eye chili pepper","","0.38490188","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","regular mayonnaise","","0.36725694","335","False"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.1251118","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","skinless chicken breast","","0.23999217","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.2356723","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.19866732","335","False"
"5123","1- 1/2 cup mozzarella cheese","1 - 1 / 2 cup mozzarella cheese","low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.19898543","15","True"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","navy bean","","0.3019966","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.2651748","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded colby cheese","","0.15330015","335","False"
"6619","A small pinch of dried wood ear mushrooms (black fungus (yields 1 cup after rehydration))","A small pinch of dried wood ear mushrooms ( black fungus ( yields 1 cup after rehydration ) )","scallop","","0.42130768","335","False"
"72","2 Tbsp extra virgin olive oil","2 Tbsp extra virgin olive oil","extra-virgin olive oil","olive oil","0.07027068","223","False"
"8925","1/3 cup dried blueberries","1 / 3 cup dried blueberries","dried cranberry","","0.3126291","335","False"
"8471","2 medium summer squash and or zucchini, sliced into rounds","2 medium summer squash and or zucchini , sliced into rounds","zucchini","yellow squash","0.2104159","5","False"
"1503","Pickled onions","Pickled onions","yellow onion","","0.34323043","335","False"
"998","1 cup basil leaves","1 cup basil leaves","fresh basil","ground dried basil","0.11109609","9","False"
"3398","2 cups of quartered sliced cucumber ((I prefer persian or english cucumbers))","2 cups of quartered sliced cucumber ( ( I prefer persian or english cucumbers ) )","slicing cucumber","english cucumber","0.17117573","9","False"
"4460","1 tablespoon cacao nibs or chocolate chips (see note)","1 tablespoon cacao nibs or chocolate chips ( see note )","cocoa powder","","0.44251907","335","False"
"4948","1 tablespoon gochugaru Korean chili flakes or chili paste","1 tablespoon gochugaru Korean chili flakes or chili paste","crushed red pepper flake","","0.2609788","335","False"
"4524","2 tablespoons coconut amino acids (or tamari: GF soy sauce if you are not Paleo)","2 tablespoons coconut amino acids ( or tamari UNK soy sauce if you are not UNK )","tamari","","0.257678","335","False"
