"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.029142037","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","light brown sugar","","0.4428257","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","puff pastry","","0.3621106","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped UNK ( optional )","regular mayonnaise","","0.40367654","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.19507307","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","fresh dill","","0.2799229","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","barley","","0.3430336","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","ground black pepper","","0.4371959","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","regular mayonnaise","","0.35114235","335","False"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.19500422","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","rotisserie chicken","","0.1940511","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.24100012","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.17126656","335","False"
"5123","1- 1/2 cup mozzarella cheese","1 - 1 / 2 cup mozzarella cheese","low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.23644575","15","True"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","great northern bean","","0.273782","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.23323596","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded yellow cheddar cheese","","0.26114494","335","False"
"6619","A small pinch of dried wood ear mushrooms (black fungus (yields 1 cup after rehydration))","A small pinch of dried wood ear mushrooms ( black fungus ( yields 1 cup after UNK ) )","Italian seasoning","","0.43840307","335","False"
"72","2 Tbsp extra virgin olive oil","2 Tbsp extra virgin olive oil","extra-virgin olive oil","olive oil","0.045943767","223","False"
"8925","1/3 cup dried blueberries","1 / 3 cup dried blueberries","blueberry","","0.3263884","335","False"
"1503","Pickled onions","Pickled onions","green onion","","0.34663048","335","False"
"998","1 cup basil leaves","1 cup basil leaves","fresh basil","ground dried basil","0.14181292","9","False"
"4460","1 tablespoon cacao nibs or chocolate chips (see note)","1 tablespoon cacao nibs or chocolate chips ( see note )","cocoa powder","","0.40807346","335","False"
"4948","1 tablespoon gochugaru Korean chili flakes or chili paste","1 tablespoon gochugaru Korean chili flakes or chili paste","crushed red pepper flake","","0.23165902","335","False"
"4524","2 tablespoons coconut amino acids (or tamari: GF soy sauce if you are not Paleo)","2 tablespoons coconut UNK UNK ( or tamari UNK soy sauce if you are not UNK )","coconut milk","","0.45637706","335","False"
"4461","whipped cream or whipped coconut cream (for garnish, optional)","whipped cream or whipped coconut cream ( for garnish , optional )","sour cream","","0.25175923","335","False"
"699","8 (7-inch) whole-wheat or grain-free tortillas","8 ( 7 - inch ) whole - wheat or grain - free tortillas","flour tortilla","","0.29210144","335","False"
"1585","1/3 cup shredded cheese, plus more for topping if desired","1 / 3 cup shredded cheese , plus more for topping if desired","shredded yellow cheddar cheese","shredded colby cheese","0.27492","1","False"
"2382","1/4 cup Ranch dressing","1 / 4 cup Ranch dressing","Caesar dressing","ranch dressing","0.2600752","2","False"
